,Headlines,Date
34,EPF meet: FY22 rate may be higher than return on its own investments. ,2022-03-07
35,RBI to focus all energies on accelerating recovery: Patra. ,2022-02-24
36,"FM Sitharaman asks banks to be more customer-friendly. RBI cautions public against prepaid payment instruments issued by unauthorised entities. Maintain constant vigil on financial sector, work to achieve inclusive growth: FM to regulators. ",2022-02-22
37,"Alternative investment policy: Sebi rejigs panel. Palanivel Thiaga Rajan interview: Power being taken from states to the Union, creating complexity. In 16% jump, EPFO adds 14.6 lakh subscribers in December. ",2022-02-21
38,FM calls for bridging global infrastructure funding gap. ,2022-02-19
39,Cryptos ‘worse’ than ponzi: RBI DG. Five ways to help your retiring parents with their investments. ,2022-02-15
40,Nod to at least one global chipmaker by March 31; 2024 target for first fabrication unit. No effort to delay ABG Shipyard case: SBI. ,2022-02-14
41,"RBI Governor: Cryptos have no underlying asset… not even a tulip. RBI: Inflation to be lower at 4.5%  in FY23, rising oil prices pose ‘risks’. ",2022-02-11
42,EPFO may invest in private corporate bonds. ,2022-02-10
43,‘Normalisation’ may kick off: RBI likely to hike reverse repo. ,2022-02-08
44,"Covid hits foreign ops: Branches, staff, income of Indian banks fall. ",2022-02-05
45,"Govt getting ready to sell IDBI Bank, may keep some stake: Top official. Bank of India Q3 profit surges 90% to Rs 1,027 crore. ",2022-02-04
46,Loan growth pushes HDFC Q3 net up 11%. HSBC Insurance eyes buying PNB stake in Canara HSBC OBC Life Insurance. ,2022-02-03
47,"Forex reserves decline by $678 mn amid drop in foreign currency assets. NTPC Q3 net up 25% at rs 4,132 crore. ",2022-01-30
48,Panel: Private banks lag in crop loan disbursals in Maharashtra. ,2022-01-29
49,PNB profit doubles in December quarter. ,2022-01-28
50,SBI’s Ecowrap report: ‘Stage set for reverse repo normalisation’. ,2022-01-27
51,"PMC Bank amalgamation with Unity SFB gets govt nod. Almost a year on, bad bank yet to take off: RBI not in favour of dual structure. ",2022-01-26
52,ICICI Bank fines former independent Director Rs 2 lakh. ,2022-01-25
53,HDFC Capital closes $1.8-billion fund for affordable housing. ,2022-01-24
54,"ICICI Bank Q3 net up 25% as interest income rises; asset quality improves. Portal issues hit e-nomination; EPFO says amid high user visits. Roll back zero merchant discount rate on UPI, RuPay debit card payments, Industry body Payments Council of India writes to Finance Ministry. ",2022-01-23
55,RBI clears Rai as chairman of Unity SFB. ,2022-01-21
56,"RBI: Digital payments up 39.6% in Sept 2021. Who is Ashneer Grover, the BharatPe co-founder, MD?. ",2022-01-20
57,Applying for your first personal loan? Five points to keep in mind. ,2022-01-17
58,"HDFC Bank standalone net profit rises 18 pc to Rs 10,342 cr in December quarter. ",2022-01-16
59,"Banks’ investment portfolio: RBI pitches for new classification, valuation norms. ",2022-01-15
60,"Budget 2021-22: Privatisation can kicked down the road, push in health & PLI. ",2022-01-14
61,"Yield hits 2-year high as RBI mops up liquidity, US Treasuries surge. ",2022-01-11
62,"As third Covid wave sets in, bankers see likely NPA surge, growth impact. Taxmen to give ‘reasonable time’ to explain reasons for mismatch in GSTR-1, 3B. ",2022-01-10
63,"FM meets PSB chiefs, says credit demand to pick up pace. ",2022-01-08
64,SBI not to levy service charge on IMPS transactions done through digital banking channels. ,2022-01-05
65,"To handle insolvency in financial companies, modified FRDI Bill up for discussions. ",2022-01-03
66,No extension of ITR filing deadline; over 5.62 cr returns for FY21 filed so far: Govt. ,2021-12-31
67,Write-offs in Covid year helped banks reduce bad loans: RBI. ,2021-12-29
68,RBI: Health of RBL Bank ‘stable’; shares still fall 18% on rejig fear. ,2021-12-28
69,"RBL Bank CEO quits ahead of term end, interim chief claims it has RBI support. RBI says RBL Bank’s financial position “satisfactory”; assures depositors, stakeholders. Top five financial gifts to help your children meet their goals. ",2021-12-27
70,Financial inclusion improves policy transmission: Patra. October: Enrolment to ESIC scheme at 12.19 lakh. ,2021-12-25
71,"Industry not ready, deadline for tokenisation extended. ",2021-12-24
72,RBI’s tokenisation rule for credit and debit cards from Jan 1: All you need to know. RBI extends card tokenisation deadline by 6 months till June-end. ,2021-12-23
73,"Decrypting crypto, today on Explained Live. ",2021-12-22
74,Demand for fuel credit cards jumped 10 times in 2021: Report. ,2021-12-21
75,"Axis Bank to raise up to Rs 5,000 crore by issuing bonds. ",2021-12-20
76,SBI hikes base rate by 0.1%. ,2021-12-17
77,"Bank strike: All you need to know about PSU bank strike today, tomorrow. ",2021-12-16
78,RBI brings NBFCs under prompt corrective action framework. ,2021-12-15
79,Banks write off Rs 2.02 lakh crore in FY21; Rs 10.7 lakh crore crore in last 7 years. Safety of depositors’ money vital for growth of banks: PM Modi. ,2021-12-13
80,Scheduled status to Paytm Payments Bank. ,2021-12-10
81,"Rs 2,000 denomination now 15.1% of total value of notes in circulation. ",2021-12-08
82,RBI supersedes board of default-hit Reliance Capital. RBI for widening scope of ‘bank note’ to include digital currency. ,2021-11-30
83,Five home loan problems you should be aware of. ,2021-11-25
84,Hinduja heir seeks to remake Swiss bank for t-shirt crowd. ,2021-11-24
85,"PMC Bank, Unity SFB merger scheme: RBI seeks views on draft. Nirmala Sitharaman asks banks to keep pursuing people who have turned loan accounts into NPAs. ",2021-11-23
86,Reforms in last 6-7 years has led banking sector to become strong today: PM Modi. ,2021-11-18
87,"Crypto currency: RBI chief asserts caution, ‘not enough debate’. ",2021-11-17
88,PM Modi launches RBI Retail Direct Scheme and Integrated Ombudsman Scheme. ,2021-11-12
89,Five mutual fund strategies to keep in mind as markets hit new highs. ,2021-11-09
90,"SBI Q2 consolidated profit surges 69% to Rs 8,890 crore. ",2021-11-03
91,Steering economy during Covid gets Das 3 more yrs at RBI helm. RBI eases current a/c rules for exposures below Rs 5 cr. ,2021-10-30
92,"Kotak Mahindra Bank reports 7% fall in September quarter profit at Rs 2,032 crore. ",2021-10-26
93,Five ways the Account Aggregator framework will benefit customers. ,2021-10-22
94,PSU banks likely to get capital support in Q4 to meet regulatory requirements. ,2021-10-21
95,HDFC Bank Sept qtr profit up 17.6 per cent; gross NPAs rise on-year. ,2021-10-17
96,"RBI Dy Guv: Banks will have to prepare for capital account convertibility. After red flags, PNB Housing Finance calls off its Rs 4,000-crore Carlyle deal. ",2021-10-15
97,"Centrum, BharatPe get licence to set up Small Finance Bank. ",2021-10-13
98,"IndusInd Bank records 10% loan growth in September quarter. HDFC Bank launches Festive Treats 3.0 with over 10,000 offers. ",2021-10-05
99,Account Aggregators – the new buzzword in the financing world!. ,2021-10-04
100,"Rapid growth, increasing adoption of crypto assets pose financial stability challenges: IMF. ",2021-10-02
101,IOB out of PCA watchlist. Auto-debit on credit card rule changes from tomorrow: Here’s what you need to know. ,2021-09-30
102,"Covid cover claims at Rs 31,624 crore; Maharashtra leads. ",2021-09-29
103,Data privacy should not be compromised in using fintech: FM Sitharaman. ,2021-09-28
104,Private bank deposit share rises to 30.5% at the cost of PSBs: RBI. ,2021-09-24
105,IDFC shareholders reject nomination of Vinod Rai as director. DICGC to pay depositors of 21 banks. ,2021-09-23
106,"India, Singapore to link digital payment systems. ",2021-09-15
107,"Banking, capital market role in recovery: RBI Governor Shaktikanta Das at Express-FT series today. ",2021-09-09
108,"Covid stress on small units: Mudra loan NPAs up in PSU banks. Merchants, companies can’t store card data from Jan 1: RBI. ",2021-09-08
109,Crypto not currency; needs to be regulated as asset: ex-RBI DG Gandhi. ,2021-09-07
110,Ketan Doshi: ‘Last mile delivery of financial services a huge opportunity’. ,2021-09-06
111,"FSDC discusses IBC, stressed assets, financial inclusion. ",2021-09-04
112,"In a sign of distress, gold loans soar 77% in 12 months up to July. ",2021-09-03
113,‘Lending mkt size doubled last fiscal over FY17’. ,2021-09-02
114,Finance minister Nirmala Sitharaman meets bank chiefs: ‘Too early to call lack of credit demand; loan outreach from Oct’. Barclays to invest more than $400 million to expand India operations. ,2021-08-26
115,"FM Nirmala Sitharaman launches EASE 4.0, reviews performance of public sector banks. ",2021-08-25
116,"Losses, soaring bad loans, exit of top personnel rock Ujjivan Small Finance Bank. Paytm partners with HDFC Bank to provide solutions across payment gateway, POS machines and credit products. ",2021-08-23
117,CRED launches new peer-to-peer lending product CRED Mint; offers up to 9% returns. ,2021-08-20
118,RBI allows HDFC Bank to issue new credit cards. ,2021-08-18
119,"Ahead of festive season, SBI cuts gold loan rates. ",2021-08-17
120,‘No adequate capital’: Karnala Nagari Sahakari Bank licence cancelled. ,2021-08-14
121,"BoB clocks Q1 profit of Rs 1,209 cr on dip in bad loan provisioning. ",2021-08-08
122,Non-compliant current a/cs: RBI extends closure deadline. ,2021-08-05
123,"No error of judgement in PNB Housing Finance deal: Rao. Payment operators can’t outsource core management functions: RBI. SBI net profit in Q1 surges 55% to Rs 6,504 crore. ",2021-08-04
124,"PM Modi: e-RUPI to deliver ‘targeted, transparent, leakage-free’ benefits. ",2021-08-02
125,SBI waives processing fee on home loans till August-end. ,2021-07-31
126,Forgot to carry debit card? Here’s how HDFC Bank customers can withdraw cash at ATMs. ,2021-07-30
127,"Mobile wallets, card networks, white label ATM operators allowed to join RBI’s CPS. ",2021-07-29
128,"Wilful defaulters rise by over 200 to 2,494 in FY21: Nirmala Sitharaman. Online lenders can’t be allowed to charge ‘exorbitant’ rates: Delhi HC. Distressed banks: Deposit insurance payout within 90 days gets approval. ",2021-07-28
129,Insurers may hike premiums soon to offset rising Covid claims impact. ,2021-07-26
130,ICICI Bank Q1 profit jumps 78% on lower provisions; gross NPAs rise. ,2021-07-25
131,Pune: Bank of Maharashtra expects early resolution for DSK cases. ,2021-07-22
132,"ARCs stretched, ‘bad bank’ road map: Rs 2 lakh crore of stressed assets. Swiss authorities to FinMin: Bank customer deposits not necessarily located in Switzerland. ",2021-07-21
133,"Cryptocurrency bank plans India operations, takes cooperative route to get around RBI rules. ",2021-07-19
134,"HDFC Bank Q1: Net profit up 16.1%, but 2nd wave dents pace of growth. ",2021-07-18
135,"To privatise a general insurer, Centre set to amend 1972 law. ",2021-07-16
136,Mastercard barred from adding clients. Financial inclusion will continue to be a policy priority after pandemic: Shaktikanta Das. ,2021-07-15
137,‘Write-offs of Rs 1.85 lakh crore aid banks to bring down bad loans’. FinSecy: Govt will privatise most PSBs ‘eventually’. ,2021-07-14
138,RBI Retail Direct scheme to woo individual investors for G-secs. ,2021-07-13
139,Mandatory leave sans intimation for bank staff in sensitive positions. ,2021-07-10
140,Razorpay partners with Mastercard to launch ‘MandateHQ’ for recurring payments. ,2021-07-08
141,S&P: ‘Indian banks face systemic risk’. Small savings interest rates kept unchanged. ,2021-07-01
142,RBI ban on new credit cards sale hit market share; will come back with a bang once embargo lifted: HDFC Bank. ,2021-06-30
143,Half of India’s working population credit active: CIBIL report. SBI to levy charges for cash withdrawal beyond four free transactions per month. ,2021-06-29
144,Curbs on PMC Bank extended till Dec 31. ,2021-06-26
145,Covid shaves off household savings for 2nd straight quarter. Parekh raises ‘level playing field’ issue in accounting standards. ,2021-06-24
146,IDBI Bank privatisation process kicks off. ,2021-06-23
147,Time to remedy damage done by GST to states’ finances: Kerala FM. ,2021-06-21
148,"Indians’ funds in Swiss banks rise to over Rs 20,000 cr on surge in securities, institutional holdings. ",2021-06-18
149,"Experts see new surge in bad loans, could rise to 13-15% this FY. ",2021-06-16
150,"MFI framework plan: RBI for limit on repayment terms, no rate cap. HDFC Bank mobile app down for 1 hour; issues resolved. ",2021-06-15
151,PF Covid withdrawal on your mind? Here are a few important things to consider. ,2021-06-14
152,"ATM transactions: Interchange fee, charge after free withdrawals hiked. ",2021-06-11
153,Red flags as PNB stake in housing finance subsidiary may dip below 26%. ,2021-06-08
154,HSBC appoints Hitendra Dave as India CEO. Yes Bank to raise fund via bonds in Indian/foreign currency. ,2021-06-07
155,"Further rate cuts not likely, RBI may retain accommodative stance. ",2021-06-03
156,Banks can’t cite 2018 RBI circular to caution clients on virtual currencies. ,2021-06-01
157,"R Baskar Babu: ‘Blanket moratorium may not be the answer; could impact credit culture’. EPFO, govt bodies can’t revise claims once resolution plan approved: NCLAT. ",2021-05-31
158,"Bank of Baroda posts Q4 net loss of Rs 1,047 crore on shift to lower tax rate regime. Bank credit growth slows to 5.6% in March; deposits grow faster. ",2021-05-30
159,Bank FDs vs Small savings schemes: Which are better investment options?. ,2021-05-27
160,"Insurance FDI rules set, govt looks to whet investor appetite. RBI asks banks to ‘quickly’ implement Covid package, step up credit flow. ",2021-05-26
161,Yes Bank AT-1 bond case: SAT stays Sebi order of Rs 25-crore fine. ,2021-05-25
162,"Citing disruption, NBFCs put pressure on RBI for dilution of auditor norms. ",2021-05-24
163,SC: Banks can invoke personal guarantee. ,2021-05-22
164,"‘More liberal debate likely: Govt wants legal opinion on cryptos’. IBA to Department of Financial Services: ‘Ongoing Covid wave claims lives of 1,300 bank staff’. ",2021-05-21
165,"Bitcoin, ethereum plunge on sell-off. ",2021-05-20
166,IDBI Bank stake sale on track; LIC offering likely by fourth qtr. NEFT service to be unavailable for 14 hours on Sunday: Here’s what you need to know. ,2021-05-19
167,"Canara Bank registers Rs 1,011 crore profit in Q4. ",2021-05-18
168,NEFT system to be unavailable for 14 hours on Sunday due to technical upgrade. ,2021-05-17
169,"As lockdowns disrupt banking services, states told to step in. ",2021-05-15
170,"Foreign currency asset exposure to overseas lenders, central banks rises. ",2021-05-13
171,"Equity mutual fund schemes see dip in inflows, debt funds garner over `1L cr. ",2021-05-12
172,"Inflow in equity mutual funds drop to Rs 3,437 crore in April. ",2021-05-11
173,"Mini Ipe, BC Patnaik named new managing directors of LIC. Bandhan Bank Q4 net falls 80% on provisions for MFI loan write-offs. ",2021-05-09
174,"SBI internet banking, YONO, UPI services to be hit later today: Everything you need to know. RBI sets up advisory group to assist regulatory review authority. ",2021-05-07
175,"Bond yield falls under 6% on RBI plan to buy additional G-Secs. IDBI Bank strategic divestment receives Cabinet approval. Updating KYC: No punitive action till December, says RBI. ",2021-05-06
176,"As claims rise, insurers go slow on covering Covid-recovered. ",2021-05-03
177,"Credit growth declines to 4.9%; loans to medium industries jump. HDFC Bank announces rejig, with 3 focus areas. ",2021-05-01
178,"RBI issues guidelines for appointment of statutory auditors of banks, NBFCs. Kotak Mahindra Bank shares fall as RBI caps founder-CEOs’ term. ",2021-04-27
179,SBI customers will now have to enter OTP to access their account online. ,2021-04-26
180,ICICI Bank Q4 standalone profit surges 261%. ,2021-04-25
181,RBI allows commercial banks to pay up to 50% of pre-Covid dividends. RBI approves appointment of Atanu Chakraborty as part-time chairman of HDFC Bank. ,2021-04-23
182,British-based fintech firm Revolut to hire 300 staff for India support hub. ,2021-04-22
183,SBI cautions its customers about fake loan offers. ,2021-04-21
184,IPO boom prompts ICICI Bank to hire more investment bankers. ,2021-04-20
185,HDFC Bank Q4 net up 18.17%; no dividend for FY21. ,2021-04-18
186,RTGS service will be unavailable for 14 hours on Sunday: Here’s what you need to know. ,2021-04-16
187,Seven realistic money tips to cover lost ground in the new financial year. ,2021-04-15
188,NCLAT: IBC to hold precedence over other laws like PMLA. ,2021-04-13
189,"Interest rates fall, but deposits shine on; grow 11.4% in FY21. ",2021-04-10
190,"Insurers settle 54% of Covid claims, 1.41 lakh cases still hanging. Equity mutual funds see net inflows for 1st time in 8 months. ",2021-04-09
191,"Insolvency relief period over, govt brings in Ordinance for MSME pre-packs. ",2021-04-06
192,Government amends insolvency law; introduces pre-packaged resolution process for MSMEs. ,2021-04-05
193,"Auto recurring debit: E-mandate deadline extended by 6 months. Govt set to infuse Rs 14,500 crore capital in 4 state-run banks. ",2021-04-01
194,Additional Factor of Authentication must for automatic recurring debit from April 1. ,2021-03-31
195,HDFC Bank admits net banking glitches; customers face problem in accessing services. ,2021-03-30
196,"Moratorium issue: Post SC verdict, banks set to classify loans of Rs 1.3 lakh crore as NPAs. ",2021-03-24
197,RBI sets up 5-member panel to screen new bank licences. ,2021-03-23
198,"Repo rate cuts: Slow pick-up in borrowing, big hit to depositors. ",2021-03-21
199,"Bond vigilantes may undermine revival, unsettle mkts: RBI. ",2021-03-20
200,"Pandemic risk pool soon, may have govt backstop provision. Our digital transactions have gone as high as 67% now: SBI Chairman. DBS Private Bank targeting more than 50% assets in sustainable investments by 2023. ",2021-03-19
201,RBI extends cheque truncation to all branches. AU Small Finance Bank raises Rs 625.5 crore from investors via qualified institutional placement. Nationwide bank strike continues to impact public sector bank services on Day 2. Permission for new pvt banks to participate in govt business will be based on RBI guidelines: FM Sitharaman. ,2021-03-16
202,"Bank strike: All you need to know about PSU bank strike today, tomorrow. Rising retail loans help bank credit grow 6.6%; deposits surge 12%. ",2021-03-15
203,"After two weeks of gains, reserves slide by over $4 bn. ",2021-03-14
204,"Post IDBI Bank, other 3 PSBs may be out of PCA soon. ",2021-03-13
205,"Bank strike called on Mar 15, 16: Services may be hit for 4 days. ",2021-03-12
206,IDBI Bank out of PCA framework. ,2021-03-11
207,"Tax-saving fixed deposits (FDs): These banks offer the best interest rates, check here. ",2021-03-09
208,ICICI Bank cuts home loan rate to 6.70 per cent. Don’t rush your home loan decision unless you factor in these 10 important things. ,2021-03-05
209,Banking services may get affected later this month due to proposed strike: Canara Bank. ,2021-03-04
210,SBI reduces home loan rates to 6.70%. ,2021-03-01
211,"Non-food credit grows 5.7% in Jan, agri steps on pedal. ",2021-02-28
212,RBI for retaining inflation target band. ,2021-02-27
213,Need to increase credit flow to new entrepreneurs and businesses: PM Modi. Assess whether MPC failed after 4 quarters of divergence rather than 3 quarter-time period: RBI report. ,2021-02-26
214,Centre lifts embargo on private banks to engage in government-related business. ,2021-02-24
215,Rising bond yields a trigger alarm for other asset classes. ,2021-02-21
216,Six-month deadline to adopt new RBI norms a ‘challenge for many’. ,2021-02-20
217,Stressed loans may rise to Rs 1.8 lakh crore; debt recast will limit reported GNPAs: report. RBI unveils draft norms for credit default swaps: Retail users allowed hedging of their underlying credit risk. SBI Annuity Deposit Scheme: All you need to know. ,2021-02-17
218,RBI sets up panel for strengthening UCBs. ,2021-02-16
219,"‘Card, electronic banking issues  top plaints list’. ",2021-02-10
220,Bank unions call for two-day strike against proposed privatisation of PSBs. Central Bank of India net profit up 6.5% at Rs 165 crore in December quarter. ,2021-02-09
221,ICICI Prudential AMC appoints Anand Shah to lead its PMS and AIF Investments division. ,2021-02-08
222,"PNB to raise Rs 3,200 crore from share sale this quarter. ",2021-02-07
223,"10.5% growth in 2021-22, will raise CRR in two stages, says RBI. Retail investors to get direct access to G-sec market: RBI. Three offers for PMC Bank revival under evaluation. ",2021-02-06
224,"SBI profit slips 6.9% on higher provisions & slower NII growth. One nation one ombudsman: RBI to integrate consumer grievance redressal scheme. Three offers received for PMC Bank resolution, says RBI Governor. ",2021-02-05
225,"RBI asks NBFCs, UCBs to implement risk-based audit. State Bank of India Q3 standalone net profit falls 7% to Rs 5,196 crore. ",2021-02-04
226,"‘ARC to have no govt equity; PSBs, pvt banks to set it up’. Jaspal Bindra interview: ‘For banks, infra is godsend as it gives you good projects with good sponsors’. ",2021-02-03
227,"Insurers’ Covid treatment claims bill at Rs 12,923 cr; more than half settled. ",2021-02-01
228,"Q3: ICICI Bank net rises 19%, asset quality improves. ",2021-01-31
229,"ICICI Bank’s Q3 net profit increases 17% to Rs 5,498 crore. ",2021-01-30
230,ED arrests Yes Bank co-founder Rana Kapoor in a money laundering case. ,2021-01-27
231,"HDFC Bank submits plan of action to RBI, hope to fix outage issue in 3 months. Indian Bank Q3 profit more than doubles to Rs 514 crore. ",2021-01-22
232,"‘Too big to fail’ list: SBI, ICICI Bank, HDFC Bank remain. ",2021-01-20
233,"CSB Bank Q3 net up 88%, provisions also soar. Bank of Maharashtra Q3 profit rises 14% to Rs 154 crore. ",2021-01-19
234,"Bank credit grows 3.2% in this fiscal so far, deposits rise too. IT cos take the lead in strong Q3 show. ",2021-01-18
235,HDFC Bank Q3 net profit rises 18.1%. ,2021-01-17
236,RBI allows UCBs to refund  share capital to members. ,2021-01-14
237,"FSR red flag: NPAs set to shoot up to 13.5% by Sept, more if severe stress. ",2021-01-12
238,FY21: Currency in circulation up 13% in first nine months. Co-operative banks must fearlessly face competition from private ones: Nitin Gadkari. ,2021-01-11
239,"Eyeing faster resolution, govt may amend IBC to bring in pre-packs. ",2021-01-10
240,Irdai to roll out standard home insurance policy. SBI raises $600 million from overseas bond sale at 1.80% coupon. ,2021-01-07
241,"Insolvency and Bankruptcy Code: Lack of permanent heads a concern, deluge awaits once moratorium ends. ",2021-01-02
242,Positive Pay System for cheques: Everything you need to know about the new rule for cheque payments. ,2021-01-01
243,Former DEA Secretary Atanu Chakraborty likely to be HDFC Bank chairman. RBI says write-offs helped  banks lower bad loans. ,2020-12-30
244,PNB puts three stressed accounts up for sale. ,2020-12-28
245,RBI Guv asks banks to strengthen lending capacity by raising capital. ,2020-12-24
246,"PSBs scan older loans, may lead to more fraud discovery. ICICI Bank unveils online platform for foreign businesses in India. ",2020-12-22
247,"Looking at various options, bad bank still in works: DEA Secy. ",2020-12-19
248,Credit uptake on path of recovery as India rebounds from Covid-19: BankBazaar report. ,2020-12-18
249,"Shaktikanta Das calls for cash flow-based lending to boost credit access. Retail NPAs to be higher in H2FY21, to return to pre-COVID levels in FY22: Axis Bank. ",2020-12-17
250,Credit deceleration since 2013 due to worsening asset quality: RBI paper. ,2020-12-16
251,"Lenders to work out recast plan jointly with borrowers, says RBI. ",2020-12-13
252,Restricting banking to Indian ownership a mistake: Abhijit Banerjee. ,2020-12-10
253,Bill Gates calls India’s digital finance approach a global model. Blanket interest waiver on all loans to be Rs 6 lakh crore: Centre to SC. RBI cancels licence of Karad Janata Sahakari Bank. ,2020-12-08
254,Padmaja Chunduru: ‘We have reached plateau on interest rate front … credit offtake growth at 9% on-year’. ,2020-12-07
255,"Halt digital launches, new credit card sourcing: RBI to HDFC Bank. ",2020-12-04
256,Chanda Kochhar sacking: SC declines to interfere with Bombay HC order. ,2020-12-02
257,Sandeep Bakhshi: An ICICI hand for more than 32 years. Chandra Shekhar Ghosh: ‘Our credit growth steady … disbursement during festive season almost 95% of last year’. ‘Credit card inquiry volumes recover from April levels; popularity rises in non-metros’. ,2020-12-01
258,Lakshmi Vilas Bank customers can access all services; no change in interest rates as of now: DBS. Banks in India to see capital decline over two years without fresh infusion: Moody’s. ,2020-11-30
259,"Bank loan outstanding shrinks in FY21 so far; home, industry credit growth fall. RBI likely to maintain status quo for 3rd straight time on inflation concerns. ",2020-11-29
260,"Lakshmi Vilas Bank to operate as DBS Bank India from tomorrow. Operations at PSU banks partially hit due to trade union strike. Bharat bandh: Operations at PSU banks partially affected; 18,000 employees go on strike in MP. ",2020-11-26
261,"Fee on money transfers for US, doesn’t apply to India: Google Pay. Cabinet approves merger of Lakshmi Vilas Bank with DBS Bank India. ",2020-11-25
262,"Bank employees body AIBEA to join trade unions in nationwide general strike on Nov 26. State Bank of India raises Rs 2,500 crore from bonds. ",2020-11-24
263,"S&P sceptical of allowing corporates into Indian banking sector. Proposal to allow corporate houses to set up banks a ‘bombshell’: Rajan, Acharya. ",2020-11-23
264,"RBI committee for conversion of large NBFCs into banks, entry of corporates. ",2020-11-21
265,RBI panel proposes to raise promoters cap to 26% in private banks. ,2020-11-20
266,Lakshmi Vilas Bank has enough liquidity to pay back depositors: Administrator. ,2020-11-19
267,"Centre puts Lakshmi Vilas Bank under moratorium, caps withdrawal at Rs 25,000 till Dec 16. Lakshmi Vilas Bank moratorium: Depositors’ money safe, assures RBI-appointed administrator. ",2020-11-18
268,"Lenders to get extra funds to buy bonds, other debt instruments of stressed cos. ",2020-11-17
269,"With LIBOR set to cease by 2021, RBI plans new Indian benchmark. ",2020-11-15
270,"Banks weather pandemic impact as moratorium helps to report lower NPAs. IBA, unions settle on 15% pay hike. ",2020-11-12
271,FM Sitharaman sets out bank account-Aadhaar linking deadline. ICICI Bank’s retail mortgage book crosses Rs 2 lakh crore. ,2020-11-11
272,Finance Minister asks banks to ensure all accounts are linked with Aadhaar by March 2021. ,2020-11-10
