,Headlines,Date,Sentiment
12,"HDFC Bank Q4 net up 22.8% on better asset quality, higher interest income. ",2022-04-17,[[2.3209971e-08 1.0000000e+00 1.5864177e-09]]
13,"Co-operative banks in Kerala reel under bad loans, NPAs crossed 38% at end of last year. ",2022-04-30,[[0.9582192  0.03692511 0.00485574]]
14,"UPI spreads, but with banking access limited, friendships foster. Kotak Mahindra Bank staffer arrested over ‘cheating’ allegations. Three reasons why you should check your credit score and credit report regularly. Bank of Baroda hikes MCLR across tenors by 0.05%. ",2022-04-11,[[9.8393375e-01 3.6743289e-04 1.5698727e-02]]
15,"Reverse repo out, SDF in: RBI’s new liquidity absorbing tool. ",2022-04-09,[[9.9403423e-01 5.9485468e-03 1.7164226e-05]]
16,"Digital banking unit norms: 24×7 operations, in tier 1-6 centres. ‘CBDC launch in calibrated, nuanced manner’. Card-less cash withdrawal facility across all banks’ ATM network soon: RBI. ",2022-04-08,[[9.9998426e-01 1.5355625e-05 3.8306428e-07]]
17,HDFC Bank to raise Rs 50K crore in 12 months. Bandhan consortium to buy IDFC mutual fund biz for Rs 4.5K crore. ,2022-04-07,[[9.9734676e-01 2.6499031e-03 3.3871756e-06]]
18,"Retail investors can bid up to Rs 5 lakh for IPOs using UPI: Sebi. MPC meet: Analysts bet on rate retention, revision of forecasts. ",2022-04-06,[[9.9644619e-01 3.5384807e-03 1.5356172e-05]]
19,"HDFC-HDFC Bank merger: Harmonisation of bank-NBFC rules enabled merger, says Chairman Parekh. India Inc’s biggest merger: Merged HDFC entity to overtake TCS, second only to RIL. HDFC-HDFC Bank merger: Inner circle of 7 kept deal under wraps until end. ",2022-04-05,[[9.9998736e-01 6.7796645e-06 5.8929995e-06]]
20,"Banks violate Irdai norms, sell insurance policies above Rs 5 crore, claim brokers. ",2022-04-04,[[9.7091764e-01 5.2275769e-05 2.9030023e-02]]
21,Mutual fund account pooling: Jul 1 new deadline. ,2022-04-03,[[9.9998188e-01 1.3549153e-05 4.5416232e-06]]
22,Bank holidays in April 2022: Here is the list of holidays. Credit offtake rises 8 per cent in February. ,2022-04-01,[[9.9068344e-01 9.2289457e-03 8.7658751e-05]]
23,"Mutual fund schemes: Sebi brings in timelines for rebalancing portfolios. Axis to get Citi’s 1.2 million retail customers. Axis Bank acquires Citibank’s India consumer business for Rs 12,325 crore. Interest rates on small savings schemes unchanged for first quarter of FY23. ",2022-03-31,[[9.9999690e-01 2.1039107e-06 9.0256145e-07]]
24,"Weaknesses in compliance, audit among lenders: RBI. Axis Bank set to buy Citi’s India consumer business; deal to be announced soon. Axis Bank to acquire Citi’s India consumer business for $1.6 billion. ",2022-03-30,[[2.1738462e-04 2.6378245e-06 9.9978000e-01]]
25,Banks robust as Modi govt acted  against NPAs unlike UPA: Nirmala. ,2022-03-29,[[1.9952166e-03 9.9799371e-01 1.1116347e-05]]
26,Cash with public at new high this fiscal even as digital payments rise by a third. ,2022-03-28,[[0.9211237  0.07194038 0.00693588]]
27,Finance Bill: Crypto losses can’t be set off against gains. ,2022-03-26,[[9.4349986e-01 3.5758709e-04 5.6142591e-02]]
28,Indian banks avoid Russia entities on West blacklist. ,2022-03-25,[[9.9919146e-01 7.4062818e-06 8.0115267e-04]]
29,HDFC home loan approvals cross Rs 2 lakh crore in FY22 so far. ,2022-03-24,[[9.9502546e-01 4.9720868e-03 2.4764677e-06]]
30,ICICI Bank launches co-branded credit cards with Emirates Skywards: Here’s what you need to know. ,2022-03-15,[[9.9999225e-01 8.6943641e-07 6.9405332e-06]]
31,"US majors still dominating cards, payments ecosystem; homegrown companies gain ground. ",2022-03-14,[[2.6610347e-05 9.9995208e-01 2.1283769e-05]]
32,All you need to know about mutual fund schemes that offer insurance covers. ,2022-03-10,[[9.9997246e-01 2.6914133e-06 2.4796533e-05]]
33,RBI launches UPI123Pay that allows UPI payments on feature phones. ,2022-03-08,[[9.993099e-01 6.828903e-04 7.317129e-06]]
34,EPF meet: FY22 rate may be higher than return on its own investments. ,2022-03-07,[[2.8821190e-03 9.9710351e-01 1.4365897e-05]]
35,RBI to focus all energies on accelerating recovery: Patra. ,2022-02-24,[[9.9867696e-01 1.2469831e-03 7.6110213e-05]]
36,"FM Sitharaman asks banks to be more customer-friendly. RBI cautions public against prepaid payment instruments issued by unauthorised entities. Maintain constant vigil on financial sector, work to achieve inclusive growth: FM to regulators. ",2022-02-22,[[1.9033316e-03 9.9808228e-01 1.4399678e-05]]
37,"Alternative investment policy: Sebi rejigs panel. Palanivel Thiaga Rajan interview: Power being taken from states to the Union, creating complexity. In 16% jump, EPFO adds 14.6 lakh subscribers in December. ",2022-02-21,[[9.9962437e-01 2.8280864e-04 9.2830116e-05]]
38,FM calls for bridging global infrastructure funding gap. ,2022-02-19,[[0.9857907  0.0076423  0.00656697]]
39,Cryptos ‘worse’ than ponzi: RBI DG. Five ways to help your retiring parents with their investments. ,2022-02-15,[[8.6436492e-01 1.3536184e-01 2.7323925e-04]]
40,Nod to at least one global chipmaker by March 31; 2024 target for first fabrication unit. No effort to delay ABG Shipyard case: SBI. ,2022-02-14,[[9.9939370e-01 1.3562385e-04 4.7071840e-04]]
41,"RBI Governor: Cryptos have no underlying asset… not even a tulip. RBI: Inflation to be lower at 4.5%  in FY23, rising oil prices pose ‘risks’. ",2022-02-11,[[1.5732873e-04 2.6752619e-04 9.9957520e-01]]
42,EPFO may invest in private corporate bonds. ,2022-02-10,[[9.9999297e-01 4.2211504e-08 7.0452652e-06]]
43,‘Normalisation’ may kick off: RBI likely to hike reverse repo. ,2022-02-08,[[9.9615747e-01 3.0044406e-03 8.3809451e-04]]
44,"Covid hits foreign ops: Branches, staff, income of Indian banks fall. ",2022-02-05,[[9.9995422e-01 2.5376996e-06 4.3288041e-05]]
45,"Govt getting ready to sell IDBI Bank, may keep some stake: Top official. Bank of India Q3 profit surges 90% to Rs 1,027 crore. ",2022-02-04,[[1.5229457e-08 1.0000000e+00 1.4592739e-08]]
46,Loan growth pushes HDFC Q3 net up 11%. HSBC Insurance eyes buying PNB stake in Canara HSBC OBC Life Insurance. ,2022-02-03,[[9.7591486e-03 9.9023509e-01 5.7722195e-06]]
47,"Forex reserves decline by $678 mn amid drop in foreign currency assets. NTPC Q3 net up 25% at rs 4,132 crore. ",2022-01-30,[[1.2263547e-04 9.9987602e-01 1.3061289e-06]]
48,Panel: Private banks lag in crop loan disbursals in Maharashtra. ,2022-01-29,[[9.9840313e-01 4.6178234e-06 1.5922036e-03]]
49,PNB profit doubles in December quarter. ,2022-01-28,[[4.5109491e-08 1.0000000e+00 1.0057228e-08]]
50,SBI’s Ecowrap report: ‘Stage set for reverse repo normalisation’. ,2022-01-27,[[9.9999785e-01 9.8822568e-07 1.2172553e-06]]
51,"PMC Bank amalgamation with Unity SFB gets govt nod. Almost a year on, bad bank yet to take off: RBI not in favour of dual structure. ",2022-01-26,[[9.9956983e-01 1.5395324e-05 4.1481917e-04]]
52,ICICI Bank fines former independent Director Rs 2 lakh. ,2022-01-25,[[9.9991727e-01 5.7776299e-07 8.2162900e-05]]
53,HDFC Capital closes $1.8-billion fund for affordable housing. ,2022-01-24,[[9.999944e-01 5.269004e-06 3.838782e-07]]
54,"ICICI Bank Q3 net up 25% as interest income rises; asset quality improves. Portal issues hit e-nomination; EPFO says amid high user visits. Roll back zero merchant discount rate on UPI, RuPay debit card payments, Industry body Payments Council of India writes to Finance Ministry. ",2022-01-23,[[3.6157944e-06 9.9999630e-01 6.1054571e-08]]
55,RBI clears Rai as chairman of Unity SFB. ,2022-01-21,[[9.9999774e-01 1.7586166e-07 2.1349319e-06]]
56,"RBI: Digital payments up 39.6% in Sept 2021. Who is Ashneer Grover, the BharatPe co-founder, MD?. ",2022-01-20,[[9.4638711e-01 5.3595085e-02 1.7791024e-05]]
57,Applying for your first personal loan? Five points to keep in mind. ,2022-01-17,[[9.9999321e-01 3.6318411e-07 6.4894693e-06]]
58,"HDFC Bank standalone net profit rises 18 pc to Rs 10,342 cr in December quarter. ",2022-01-16,[[1.6591106e-06 9.9999809e-01 2.4590281e-07]]
59,"Banks’ investment portfolio: RBI pitches for new classification, valuation norms. ",2022-01-15,[[9.9999940e-01 1.7229443e-07 4.2345900e-07]]
60,"Budget 2021-22: Privatisation can kicked down the road, push in health & PLI. ",2022-01-14,[[9.9963903e-01 1.9123392e-04 1.6967513e-04]]
61,"Yield hits 2-year high as RBI mops up liquidity, US Treasuries surge. ",2022-01-11,[[0.01372572 0.96395165 0.02232267]]
62,"As third Covid wave sets in, bankers see likely NPA surge, growth impact. Taxmen to give ‘reasonable time’ to explain reasons for mismatch in GSTR-1, 3B. ",2022-01-10,[[0.74688786 0.25079483 0.00231735]]
63,"FM meets PSB chiefs, says credit demand to pick up pace. ",2022-01-08,[[4.0921197e-05 9.9995852e-01 5.6706114e-07]]
64,SBI not to levy service charge on IMPS transactions done through digital banking channels. ,2022-01-05,[[9.9994612e-01 4.8115280e-06 4.9107406e-05]]
65,"To handle insolvency in financial companies, modified FRDI Bill up for discussions. ",2022-01-03,[[9.9837506e-01 3.0274638e-05 1.5946861e-03]]
66,No extension of ITR filing deadline; over 5.62 cr returns for FY21 filed so far: Govt. ,2021-12-31,[[9.9999177e-01 3.5843295e-06 4.6044997e-06]]
67,Write-offs in Covid year helped banks reduce bad loans: RBI. ,2021-12-29,[[1.1656385e-06 9.9999857e-01 2.9569199e-07]]
68,RBI: Health of RBL Bank ‘stable’; shares still fall 18% on rejig fear. ,2021-12-28,[[0.00343462 0.08047024 0.91609514]]
69,"RBL Bank CEO quits ahead of term end, interim chief claims it has RBI support. RBI says RBL Bank’s financial position “satisfactory”; assures depositors, stakeholders. Top five financial gifts to help your children meet their goals. ",2021-12-27,[[2.3214866e-07 9.9999964e-01 8.0011510e-08]]
70,Financial inclusion improves policy transmission: Patra. October: Enrolment to ESIC scheme at 12.19 lakh. ,2021-12-25,[[2.4316643e-01 7.5681418e-01 1.9376555e-05]]
71,"Industry not ready, deadline for tokenisation extended. ",2021-12-24,[[9.8980182e-01 1.3872923e-04 1.0059370e-02]]
72,RBI’s tokenisation rule for credit and debit cards from Jan 1: All you need to know. RBI extends card tokenisation deadline by 6 months till June-end. ,2021-12-23,[[9.9999416e-01 2.0054588e-06 3.7551363e-06]]
73,"Decrypting crypto, today on Explained Live. ",2021-12-22,[[9.9989939e-01 2.9787634e-06 9.7654374e-05]]
74,Demand for fuel credit cards jumped 10 times in 2021: Report. ,2021-12-21,[[1.179236e-03 9.988152e-01 5.557883e-06]]
75,"Axis Bank to raise up to Rs 5,000 crore by issuing bonds. ",2021-12-20,[[9.9996662e-01 1.8255118e-05 1.5157626e-05]]
76,SBI hikes base rate by 0.1%. ,2021-12-17,[[9.9387062e-01 6.0626003e-03 6.6800952e-05]]
77,"Bank strike: All you need to know about PSU bank strike today, tomorrow. ",2021-12-16,[[9.9999905e-01 1.4596100e-07 8.1704673e-07]]
78,RBI brings NBFCs under prompt corrective action framework. ,2021-12-15,[[9.9658918e-01 3.4812585e-04 3.0626822e-03]]
79,Banks write off Rs 2.02 lakh crore in FY21; Rs 10.7 lakh crore crore in last 7 years. Safety of depositors’ money vital for growth of banks: PM Modi. ,2021-12-13,[[0.00427984 0.9860086  0.00971165]]
80,Scheduled status to Paytm Payments Bank. ,2021-12-10,[[9.999827e-01 5.804776e-06 1.141974e-05]]
81,"Rs 2,000 denomination now 15.1% of total value of notes in circulation. ",2021-12-08,[[9.9999988e-01 9.8672563e-09 1.3337055e-07]]
82,RBI supersedes board of default-hit Reliance Capital. RBI for widening scope of ‘bank note’ to include digital currency. ,2021-11-30,[[9.9998903e-01 1.6153083e-06 9.2683531e-06]]
83,Five home loan problems you should be aware of. ,2021-11-25,[[8.3860505e-04 2.7175440e-06 9.9915874e-01]]
84,Hinduja heir seeks to remake Swiss bank for t-shirt crowd. ,2021-11-24,[[9.9995315e-01 3.4250334e-06 4.3344837e-05]]
85,"PMC Bank, Unity SFB merger scheme: RBI seeks views on draft. Nirmala Sitharaman asks banks to keep pursuing people who have turned loan accounts into NPAs. ",2021-11-23,[[9.9999046e-01 1.1721666e-07 9.4431143e-06]]
86,Reforms in last 6-7 years has led banking sector to become strong today: PM Modi. ,2021-11-18,[[1.4613545e-08 1.0000000e+00 3.7477896e-09]]
87,"Crypto currency: RBI chief asserts caution, ‘not enough debate’. ",2021-11-17,[[9.931977e-01 2.117149e-04 6.590618e-03]]
88,PM Modi launches RBI Retail Direct Scheme and Integrated Ombudsman Scheme. ,2021-11-12,[[9.9996471e-01 3.2379623e-05 2.8489844e-06]]
89,Five mutual fund strategies to keep in mind as markets hit new highs. ,2021-11-09,[[0.53835124 0.00741484 0.45423394]]
90,"SBI Q2 consolidated profit surges 69% to Rs 8,890 crore. ",2021-11-03,[[1.3379127e-08 1.0000000e+00 6.5371775e-09]]
91,Steering economy during Covid gets Das 3 more yrs at RBI helm. RBI eases current a/c rules for exposures below Rs 5 cr. ,2021-10-30,[[5.418187e-01 4.581370e-01 4.432928e-05]]
92,"Kotak Mahindra Bank reports 7% fall in September quarter profit at Rs 2,032 crore. ",2021-10-26,[[6.9411923e-05 1.2421044e-06 9.9992931e-01]]
93,Five ways the Account Aggregator framework will benefit customers. ,2021-10-22,[[4.5298485e-08 1.0000000e+00 1.7323986e-08]]
94,PSU banks likely to get capital support in Q4 to meet regulatory requirements. ,2021-10-21,[[9.9832982e-01 1.5646124e-03 1.0555107e-04]]
95,HDFC Bank Sept qtr profit up 17.6 per cent; gross NPAs rise on-year. ,2021-10-17,[[2.8355026e-07 9.9999976e-01 8.4808987e-09]]
96,"RBI Dy Guv: Banks will have to prepare for capital account convertibility. After red flags, PNB Housing Finance calls off its Rs 4,000-crore Carlyle deal. ",2021-10-15,[[9.9652100e-01 9.2563101e-07 3.4780172e-03]]
97,"Centrum, BharatPe get licence to set up Small Finance Bank. ",2021-10-13,[[9.9999404e-01 2.6125610e-07 5.6816211e-06]]
98,"IndusInd Bank records 10% loan growth in September quarter. HDFC Bank launches Festive Treats 3.0 with over 10,000 offers. ",2021-10-05,[[5.3338450e-04 9.9946636e-01 1.9880974e-07]]
99,Account Aggregators – the new buzzword in the financing world!. ,2021-10-04,[[9.9805343e-01 1.9250269e-03 2.1567359e-05]]
100,"Rapid growth, increasing adoption of crypto assets pose financial stability challenges: IMF. ",2021-10-02,[[2.7380789e-05 2.9157485e-05 9.9994349e-01]]
101,IOB out of PCA watchlist. Auto-debit on credit card rule changes from tomorrow: Here’s what you need to know. ,2021-09-30,[[9.9994874e-01 4.3079149e-06 4.6925506e-05]]
102,"Covid cover claims at Rs 31,624 crore; Maharashtra leads. ",2021-09-29,[[9.9998569e-01 6.3484373e-07 1.3746085e-05]]
103,Data privacy should not be compromised in using fintech: FM Sitharaman. ,2021-09-28,[[9.9758792e-01 1.8532891e-04 2.2267622e-03]]
104,Private bank deposit share rises to 30.5% at the cost of PSBs: RBI. ,2021-09-24,[[9.8476624e-01 1.5231273e-02 2.5127297e-06]]
105,IDFC shareholders reject nomination of Vinod Rai as director. DICGC to pay depositors of 21 banks. ,2021-09-23,[[9.9989927e-01 1.0132484e-05 9.0611349e-05]]
106,"India, Singapore to link digital payment systems. ",2021-09-15,[[9.9989665e-01 7.5246382e-05 2.8183533e-05]]
107,"Banking, capital market role in recovery: RBI Governor Shaktikanta Das at Express-FT series today. ",2021-09-09,[[9.9995792e-01 2.9927554e-05 1.2190683e-05]]
108,"Covid stress on small units: Mudra loan NPAs up in PSU banks. Merchants, companies can’t store card data from Jan 1: RBI. ",2021-09-08,[[9.994937e-01 2.907265e-06 5.034488e-04]]
109,Crypto not currency; needs to be regulated as asset: ex-RBI DG Gandhi. ,2021-09-07,[[9.9998367e-01 1.3034734e-06 1.4989307e-05]]
110,Ketan Doshi: ‘Last mile delivery of financial services a huge opportunity’. ,2021-09-06,[[5.5750943e-06 9.9999428e-01 1.3963646e-07]]
111,"FSDC discusses IBC, stressed assets, financial inclusion. ",2021-09-04,[[9.9999774e-01 1.6785285e-07 2.1710434e-06]]
112,"In a sign of distress, gold loans soar 77% in 12 months up to July. ",2021-09-03,[[1.7124593e-02 9.8206317e-01 8.1227161e-04]]
113,‘Lending mkt size doubled last fiscal over FY17’. ,2021-09-02,[[1.8925743e-05 9.9998093e-01 7.0696046e-08]]
114,Finance minister Nirmala Sitharaman meets bank chiefs: ‘Too early to call lack of credit demand; loan outreach from Oct’. Barclays to invest more than $400 million to expand India operations. ,2021-08-26,[[9.9853313e-01 6.6307787e-04 8.0386025e-04]]
115,"FM Nirmala Sitharaman launches EASE 4.0, reviews performance of public sector banks. ",2021-08-25,[[9.9999106e-01 3.6158701e-07 8.5503298e-06]]
116,"Losses, soaring bad loans, exit of top personnel rock Ujjivan Small Finance Bank. Paytm partners with HDFC Bank to provide solutions across payment gateway, POS machines and credit products. ",2021-08-23,[[9.989894e-01 5.281479e-04 4.823760e-04]]
117,CRED launches new peer-to-peer lending product CRED Mint; offers up to 9% returns. ,2021-08-20,[[2.4019640e-05 9.9997604e-01 2.6296954e-08]]
118,RBI allows HDFC Bank to issue new credit cards. ,2021-08-18,[[9.9963200e-01 3.6115557e-04 6.8115846e-06]]
119,"Ahead of festive season, SBI cuts gold loan rates. ",2021-08-17,[[0.9778251  0.00615399 0.01602094]]
120,‘No adequate capital’: Karnala Nagari Sahakari Bank licence cancelled. ,2021-08-14,[[9.900581e-01 6.415374e-05 9.877634e-03]]
121,"BoB clocks Q1 profit of Rs 1,209 cr on dip in bad loan provisioning. ",2021-08-08,[[0.18149084 0.01355055 0.8049586 ]]
122,Non-compliant current a/cs: RBI extends closure deadline. ,2021-08-05,[[9.9975795e-01 1.8176972e-04 6.0285205e-05]]
123,"No error of judgement in PNB Housing Finance deal: Rao. Payment operators can’t outsource core management functions: RBI. SBI net profit in Q1 surges 55% to Rs 6,504 crore. ",2021-08-04,[[1.32788065e-08 9.99999881e-01 7.83135548e-08]]
124,"PM Modi: e-RUPI to deliver ‘targeted, transparent, leakage-free’ benefits. ",2021-08-02,[[1.5903721e-02 9.8407894e-01 1.7398504e-05]]
125,SBI waives processing fee on home loans till August-end. ,2021-07-31,[[9.8670709e-01 6.2595995e-05 1.3230258e-02]]
126,Forgot to carry debit card? Here’s how HDFC Bank customers can withdraw cash at ATMs. ,2021-07-30,[[9.9996996e-01 1.9428246e-06 2.8169827e-05]]
127,"Mobile wallets, card networks, white label ATM operators allowed to join RBI’s CPS. ",2021-07-29,[[9.9969590e-01 2.9983194e-04 4.3083128e-06]]
128,"Wilful defaulters rise by over 200 to 2,494 in FY21: Nirmala Sitharaman. Online lenders can’t be allowed to charge ‘exorbitant’ rates: Delhi HC. Distressed banks: Deposit insurance payout within 90 days gets approval. ",2021-07-28,[[9.9990594e-01 3.5583445e-05 5.8421407e-05]]
129,Insurers may hike premiums soon to offset rising Covid claims impact. ,2021-07-26,[[0.10899334 0.8864731  0.00453361]]
130,ICICI Bank Q1 profit jumps 78% on lower provisions; gross NPAs rise. ,2021-07-25,[[4.2038650e-08 1.0000000e+00 5.0817604e-08]]
131,Pune: Bank of Maharashtra expects early resolution for DSK cases. ,2021-07-22,[[9.9999762e-01 7.7581205e-07 1.5687117e-06]]
132,"ARCs stretched, ‘bad bank’ road map: Rs 2 lakh crore of stressed assets. Swiss authorities to FinMin: Bank customer deposits not necessarily located in Switzerland. ",2021-07-21,[[9.9999845e-01 1.3965062e-07 1.4341878e-06]]
133,"Cryptocurrency bank plans India operations, takes cooperative route to get around RBI rules. ",2021-07-19,[[9.9999952e-01 8.7905619e-08 3.1135127e-07]]
134,"HDFC Bank Q1: Net profit up 16.1%, but 2nd wave dents pace of growth. ",2021-07-18,[[6.1565615e-06 9.9999273e-01 1.0253198e-06]]
135,"To privatise a general insurer, Centre set to amend 1972 law. ",2021-07-16,[[9.9994290e-01 7.5228368e-06 4.9616501e-05]]
136,Mastercard barred from adding clients. Financial inclusion will continue to be a policy priority after pandemic: Shaktikanta Das. ,2021-07-15,[[9.9609679e-01 3.5259589e-03 3.7725575e-04]]
137,‘Write-offs of Rs 1.85 lakh crore aid banks to bring down bad loans’. FinSecy: Govt will privatise most PSBs ‘eventually’. ,2021-07-14,[[0.9948277  0.00314725 0.00202508]]
138,RBI Retail Direct scheme to woo individual investors for G-secs. ,2021-07-13,[[9.9998295e-01 6.6496301e-07 1.6304310e-05]]
139,Mandatory leave sans intimation for bank staff in sensitive positions. ,2021-07-10,[[9.999980e-01 4.461840e-08 2.030359e-06]]
140,Razorpay partners with Mastercard to launch ‘MandateHQ’ for recurring payments. ,2021-07-08,[[9.9941278e-01 5.6483323e-04 2.2401327e-05]]
141,S&P: ‘Indian banks face systemic risk’. Small savings interest rates kept unchanged. ,2021-07-01,[[4.2056444e-01 2.4152492e-04 5.7919401e-01]]
142,RBI ban on new credit cards sale hit market share; will come back with a bang once embargo lifted: HDFC Bank. ,2021-06-30,[[0.11087336 0.00156346 0.88756317]]
143,Half of India’s working population credit active: CIBIL report. SBI to levy charges for cash withdrawal beyond four free transactions per month. ,2021-06-29,[[9.9977642e-01 5.9863987e-06 2.1763773e-04]]
144,Curbs on PMC Bank extended till Dec 31. ,2021-06-26,[[9.9999666e-01 1.3710801e-06 1.9346321e-06]]
145,Covid shaves off household savings for 2nd straight quarter. Parekh raises ‘level playing field’ issue in accounting standards. ,2021-06-24,[[0.45633066 0.01151893 0.53215045]]
146,IDBI Bank privatisation process kicks off. ,2021-06-23,[[9.8247820e-01 1.7002773e-02 5.1907875e-04]]
147,Time to remedy damage done by GST to states’ finances: Kerala FM. ,2021-06-21,[[7.9154545e-01 1.9688650e-04 2.0825759e-01]]
148,"Indians’ funds in Swiss banks rise to over Rs 20,000 cr on surge in securities, institutional holdings. ",2021-06-18,[[5.1539652e-03 9.9480480e-01 4.1275543e-05]]
149,"Experts see new surge in bad loans, could rise to 13-15% this FY. ",2021-06-16,[[1.4611076e-05 9.9998403e-01 1.2682132e-06]]
150,"MFI framework plan: RBI for limit on repayment terms, no rate cap. HDFC Bank mobile app down for 1 hour; issues resolved. ",2021-06-15,[[9.9947184e-01 2.1767624e-04 3.1044873e-04]]
151,PF Covid withdrawal on your mind? Here are a few important things to consider. ,2021-06-14,[[9.993030e-01 4.258200e-06 6.926601e-04]]
152,"ATM transactions: Interchange fee, charge after free withdrawals hiked. ",2021-06-11,[[9.8994190e-01 9.9490499e-03 1.0904147e-04]]
153,Red flags as PNB stake in housing finance subsidiary may dip below 26%. ,2021-06-08,[[1.3530124e-05 3.8512248e-05 9.9994791e-01]]
154,HSBC appoints Hitendra Dave as India CEO. Yes Bank to raise fund via bonds in Indian/foreign currency. ,2021-06-07,[[9.9993837e-01 5.2992385e-05 8.5274205e-06]]
155,"Further rate cuts not likely, RBI may retain accommodative stance. ",2021-06-03,[[1.169015e-02 8.290135e-04 9.874808e-01]]
156,Banks can’t cite 2018 RBI circular to caution clients on virtual currencies. ,2021-06-01,[[9.9998891e-01 7.5989888e-08 1.1022659e-05]]
157,"R Baskar Babu: ‘Blanket moratorium may not be the answer; could impact credit culture’. EPFO, govt bodies can’t revise claims once resolution plan approved: NCLAT. ",2021-05-31,[[9.8723817e-01 5.0535670e-04 1.2256493e-02]]
158,"Bank of Baroda posts Q4 net loss of Rs 1,047 crore on shift to lower tax rate regime. Bank credit growth slows to 5.6% in March; deposits grow faster. ",2021-05-30,[[2.655413e-06 8.248034e-05 9.999149e-01]]
159,Bank FDs vs Small savings schemes: Which are better investment options?. ,2021-05-27,[[4.455262e-03 9.955355e-01 9.313494e-06]]
160,"Insurance FDI rules set, govt looks to whet investor appetite. RBI asks banks to ‘quickly’ implement Covid package, step up credit flow. ",2021-05-26,[[9.9999607e-01 1.5851889e-06 2.3932078e-06]]
161,Yes Bank AT-1 bond case: SAT stays Sebi order of Rs 25-crore fine. ,2021-05-25,[[9.9981779e-01 4.8282614e-06 1.7729925e-04]]
162,"Citing disruption, NBFCs put pressure on RBI for dilution of auditor norms. ",2021-05-24,[[1.2946191e-05 1.1446098e-05 9.9997556e-01]]
163,SC: Banks can invoke personal guarantee. ,2021-05-22,[[9.9781394e-01 1.2881601e-04 2.0572741e-03]]
164,"‘More liberal debate likely: Govt wants legal opinion on cryptos’. IBA to Department of Financial Services: ‘Ongoing Covid wave claims lives of 1,300 bank staff’. ",2021-05-21,[[9.9991584e-01 2.8409757e-05 5.5767494e-05]]
165,"Bitcoin, ethereum plunge on sell-off. ",2021-05-20,[[2.6531310e-03 5.3887334e-06 9.9734145e-01]]
166,IDBI Bank stake sale on track; LIC offering likely by fourth qtr. NEFT service to be unavailable for 14 hours on Sunday: Here’s what you need to know. ,2021-05-19,[[9.9862564e-01 7.4192685e-06 1.3670227e-03]]
167,"Canara Bank registers Rs 1,011 crore profit in Q4. ",2021-05-18,[[9.9998832e-01 4.3842488e-06 7.2161856e-06]]
168,NEFT system to be unavailable for 14 hours on Sunday due to technical upgrade. ,2021-05-17,[[2.6286133e-02 2.4801141e-06 9.7371137e-01]]
169,"As lockdowns disrupt banking services, states told to step in. ",2021-05-15,[[7.2421539e-01 2.5511591e-04 2.7552947e-01]]
170,"Foreign currency asset exposure to overseas lenders, central banks rises. ",2021-05-13,[[0.12140603 0.01387416 0.8647198 ]]
171,"Equity mutual fund schemes see dip in inflows, debt funds garner over `1L cr. ",2021-05-12,[[0.00104199 0.05028379 0.9486742 ]]
172,"Inflow in equity mutual funds drop to Rs 3,437 crore in April. ",2021-05-11,[[5.8427762e-02 2.6095344e-04 9.4131136e-01]]
173,"Mini Ipe, BC Patnaik named new managing directors of LIC. Bandhan Bank Q4 net falls 80% on provisions for MFI loan write-offs. ",2021-05-09,[[9.9887234e-01 1.5624743e-06 1.1260668e-03]]
